"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0002213","defense response to insect",25,2,0.04,"0.00058"
"GO:0055085","transmembrane transport",991,6,1.43,"0.00194"
"GO:0051707","response to other organism",1159,6,1.68,"0.00431"
"GO:0043207","response to external biotic stimulus",1163,6,1.68,"0.00438"
"GO:0009607","response to biotic stimulus",1167,6,1.69,"0.00446"
"GO:0044419","biological process involved in interspec...",1205,6,1.74,"0.00523"
"GO:0098542","defense response to other organism",917,5,1.33,"0.00799"
"GO:0010184","cytokinin transport",7,1,0.01,"0.01008"
"GO:0015860","purine nucleoside transmembrane transpor...",7,1,0.01,"0.01008"
"GO:1901642","nucleoside transmembrane transport",10,1,0.01,"0.01437"
"GO:0006952","defense response",1072,5,1.55,"0.01522"
"GO:0015858","nucleoside transport",11,1,0.02,"0.01579"
"GO:0009605","response to external stimulus",1598,6,2.31,"0.02030"
"GO:0046864","isoprenoid transport",17,1,0.02,"0.02431"
"GO:0046865","terpenoid transport",17,1,0.02,"0.02431"
"GO:0080168","abscisic acid transport",17,1,0.02,"0.02431"
"GO:0071577","zinc ion transmembrane transport",20,1,0.03,"0.02854"
"GO:1900425","negative regulation of defense response ...",20,1,0.03,"0.02854"
"GO:0009269","response to desiccation",22,1,0.03,"0.03135"
"GO:0006829","zinc ion transport",24,1,0.03,"0.03416"
