"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0071944","cell periphery",2894,11,4.17,"0.00052"
"GO:0005886","plasma membrane",2452,9,3.53,"0.00339"
"GO:0009505","plant-type cell wall",253,2,0.36,"0.05042"
"GO:0016020","membrane",4418,9,6.37,"0.14266"
"GO:0005618","cell wall",542,2,0.78,"0.18237"
"GO:0030312","external encapsulating structure",547,2,0.79,"0.18499"
"GO:0009506","plasmodesma",763,2,1.1,"0.30188"
"GO:0055044","symplast",763,2,1.1,"0.30188"
"GO:0005911","cell-cell junction",777,2,1.12,"0.30954"
"GO:0070161","anchoring junction",777,2,1.12,"0.30954"
"GO:0030054","cell junction",803,2,1.16,"0.32374"
"GO:0022626","cytosolic ribosome",269,1,0.39,"0.32454"
"GO:0005783","endoplasmic reticulum",876,2,1.26,"0.36333"
"GO:0005773","vacuole",911,2,1.31,"0.38210"
"GO:0005840","ribosome",357,1,0.51,"0.40709"
"GO:0031410","cytoplasmic vesicle",497,1,0.72,"0.51913"
"GO:0097708","intracellular vesicle",499,1,0.72,"0.52058"
"GO:0031982","vesicle",531,1,0.77,"0.54316"
"GO:1990904","ribonucleoprotein complex",734,1,1.06,"0.66470"
"GO:0012505","endomembrane system",1772,2,2.55,"0.74845"
