"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0090601","enucleation",2,2,0.02,"6.1e-05"
"GO:0090602","sieve element enucleation",2,2,0.02,"6.1e-05"
"GO:0090603","sieve element differentiation",3,2,0.02,"0.00018"
"GO:0120251","hydrocarbon biosynthetic process",89,4,0.7,"0.00518"
"GO:0006825","copper ion transport",14,2,0.11,"0.00519"
"GO:0045338","farnesyl diphosphate metabolic process",47,3,0.37,"0.00587"
"GO:0044550","secondary metabolite biosynthetic proces...",283,7,2.22,"0.00671"
"GO:0015770","sucrose transport",17,2,0.13,"0.00764"
"GO:0046189","phenol-containing compound biosynthetic ...",17,2,0.13,"0.00764"
"GO:0120252","hydrocarbon metabolic process",100,4,0.78,"0.00780"
"GO:0007606","sensory perception of chemical stimulus",1,1,0.01,"0.00783"
"GO:0014832","urinary bladder smooth muscle contractio...",1,1,0.01,"0.00783"
"GO:0014848","urinary tract smooth muscle contraction",1,1,0.01,"0.00783"
"GO:0031646","positive regulation of nervous system pr...",1,1,0.01,"0.00783"
"GO:0033555","multicellular organismal response to str...",1,1,0.01,"0.00783"
"GO:0048265","response to pain",1,1,0.01,"0.00783"
"GO:0050906","detection of stimulus involved in sensor...",1,1,0.01,"0.00783"
"GO:0050907","detection of chemical stimulus involved ...",1,1,0.01,"0.00783"
"GO:0050951","sensory perception of temperature stimul...",1,1,0.01,"0.00783"
"GO:0050955","thermoception",1,1,0.01,"0.00783"
