"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0016605","PML body",8,2,0.03,"0.00029"
"GO:0042995","cell projection",140,4,0.46,"0.00113"
"GO:0120025","plasma membrane bounded cell projection",140,4,0.46,"0.00113"
"GO:0032391","photoreceptor connecting cilium",1,1,0,"0.00330"
"GO:0035869","ciliary transition zone",1,1,0,"0.00330"
"GO:0043195","terminal bouton",1,1,0,"0.00330"
"GO:0043679","axon terminus",1,1,0,"0.00330"
"GO:0044306","neuron projection terminus",1,1,0,"0.00330"
"GO:0048786","presynaptic active zone",1,1,0,"0.00330"
"GO:0043005","neuron projection",42,2,0.14,"0.00842"
"GO:0036064","ciliary basal body",4,1,0.01,"0.01314"
"GO:0150034","distal axon",4,1,0.01,"0.01314"
"GO:0090406","pollen tube",59,2,0.19,"0.01616"
"GO:0000930","gamma-tubulin complex",5,1,0.02,"0.01640"
"GO:0009368","endopeptidase Clp complex",6,1,0.02,"0.01965"
"GO:0009840","chloroplastic endopeptidase Clp complex",6,1,0.02,"0.01965"
"GO:0030672","synaptic vesicle membrane",6,1,0.02,"0.01965"
"GO:0097730","non-motile cilium",6,1,0.02,"0.01965"
"GO:0097731","9+0 non-motile cilium",6,1,0.02,"0.01965"
"GO:0097733","photoreceptor cell cilium",6,1,0.02,"0.01965"
