"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0008515","sucrose transmembrane transporter activi...",15,2,0.11,"0.0053"
"GO:0015154","disaccharide transmembrane transporter a...",16,2,0.12,"0.0060"
"GO:0015157","oligosaccharide transmembrane transporte...",16,2,0.12,"0.0060"
"GO:0015278","intracellularly gated calcium channel ac...",1,1,0.01,"0.0074"
"GO:0097603","temperature-gated ion channel activity",1,1,0.01,"0.0074"
"GO:0097604","temperature-gated cation channel activit...",1,1,0.01,"0.0074"
"GO:0099604","ligand-gated calcium channel activity",1,1,0.01,"0.0074"
"GO:1990760","osmolarity-sensing monoatomic cation cha...",1,1,0.01,"0.0074"
"GO:0004519","endonuclease activity",566,10,4.18,"0.0084"
"GO:0010334","sesquiterpene synthase activity",58,3,0.43,"0.0089"
"GO:0010333","terpene synthase activity",59,3,0.44,"0.0094"
"GO:0016838","carbon-oxygen lyase activity, acting on ...",65,3,0.48,"0.0122"
"GO:0005034","osmosensor activity",2,1,0.01,"0.0147"
"GO:0047782","coniferin beta-glucosidase activity",2,1,0.01,"0.0147"
"GO:0140299","molecular sensor activity",2,1,0.01,"0.0147"
"GO:0004518","nuclease activity",634,10,4.68,"0.0177"
"GO:0004337","geranyltranstransferase activity",3,1,0.02,"0.0220"
"GO:0005245","voltage-gated calcium channel activity",3,1,0.02,"0.0220"
"GO:0034511","U3 snoRNA binding",3,1,0.02,"0.0220"
"GO:0016705","oxidoreductase activity, acting on paire...",226,5,1.67,"0.0256"
