"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0051276","chromosome organization",614,24,4.96,"6.7e-11"
"GO:0090304","nucleic acid metabolic process",3423,56,27.65,"1.5e-09"
"GO:0006996","organelle organization",1635,36,13.21,"5.1e-09"
"GO:0022402","cell cycle process",444,18,3.59,"1.3e-08"
"GO:0006139","nucleobase-containing compound metabolic...",3850,57,31.1,"5.0e-08"
"GO:0007049","cell cycle",566,19,4.57,"1.0e-07"
"GO:0006974","DNA damage response",375,15,3.03,"3.0e-07"
"GO:0006325","chromatin organization",488,17,3.94,"3.2e-07"
"GO:0016043","cellular component organization",2720,44,21.97,"5.9e-07"
"GO:0006259","DNA metabolic process",574,18,4.64,"6.4e-07"
"GO:0071840","cellular component organization or bioge...",3008,46,24.3,"1.4e-06"
"GO:0010564","regulation of cell cycle process",136,9,1.1,"1.4e-06"
"GO:0006281","DNA repair",317,13,2.56,"1.5e-06"
"GO:0098813","nuclear chromosome segregation",147,9,1.19,"2.8e-06"
"GO:0043170","macromolecule metabolic process",6022,71,48.65,"2.9e-06"
"GO:0007059","chromosome segregation",155,9,1.25,"4.3e-06"
"GO:0007018","microtubule-based movement",84,7,0.68,"4.9e-06"
"GO:0000278","mitotic cell cycle",308,12,2.49,"6.6e-06"
"GO:0009987","cellular process",10628,97,85.86,"6.9e-06"
"GO:0000122","negative regulation of transcription by ...",37,5,0.3,"1.1e-05"
