"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0038036","sphingosine-1-phosphate receptor activit...",2,1,0,"0.0012"
"GO:0045125","bioactive lipid receptor activity",2,1,0,"0.0012"
"GO:0008481","sphingosine kinase activity",4,1,0,"0.0024"
"GO:0017050","D-erythro-sphingosine kinase activity",4,1,0,"0.0024"
"GO:0004930","G protein-coupled receptor activity",6,1,0,"0.0036"
"GO:0051721","protein phosphatase 2A binding",6,1,0,"0.0036"
"GO:0033987","2-hydroxyisoflavanone dehydratase activi...",8,1,0,"0.0048"
"GO:0004888","transmembrane signaling receptor activit...",199,2,0.12,"0.0055"
"GO:0038023","signaling receptor activity",231,2,0.14,"0.0074"
"GO:0060089","molecular transducer activity",254,2,0.15,"0.0089"
"GO:0019902","phosphatase binding",15,1,0.01,"0.0089"
"GO:0019903","protein phosphatase binding",15,1,0.01,"0.0089"
"GO:0070300","phosphatidic acid binding",16,1,0.01,"0.0095"
"GO:0001727","lipid kinase activity",33,1,0.02,"0.0195"
"GO:0019899","enzyme binding",475,2,0.28,"0.0294"
"GO:0004197","cysteine-type endopeptidase activity",54,1,0.03,"0.0318"
"GO:0016836","hydro-lyase activity",57,1,0.03,"0.0335"
"GO:0000287","magnesium ion binding",64,1,0.04,"0.0375"
"GO:0019901","protein kinase binding",76,1,0.05,"0.0445"
"GO:0008234","cysteine-type peptidase activity",77,1,0.05,"0.0450"
