"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0009834","plant-type secondary cell wall biogenesi...",58,6,0.29,"4.1e-07"
"GO:0042546","cell wall biogenesis",158,7,0.79,"1.3e-05"
"GO:0009832","plant-type cell wall biogenesis",129,6,0.65,"4.3e-05"
"GO:0071669","plant-type cell wall organization or bio...",234,7,1.17,"0.00016"
"GO:0015886","heme transport",5,2,0.03,"0.00025"
"GO:0006811","monoatomic ion transport",745,12,3.74,"0.00027"
"GO:0045492","xylan biosynthetic process",30,3,0.15,"0.00044"
"GO:0071554","cell wall organization or biogenesis",372,8,1.87,"0.00050"
"GO:0010597","green leaf volatile biosynthetic process",7,2,0.04,"0.00051"
"GO:0019372","lipoxygenase pathway",8,2,0.04,"0.00068"
"GO:1901678","iron coordination entity transport",9,2,0.05,"0.00087"
"GO:0045491","xylan metabolic process",46,3,0.23,"0.00156"
"GO:2000652","regulation of secondary cell wall biogen...",12,2,0.06,"0.00158"
"GO:0030001","metal ion transport",267,6,1.34,"0.00213"
"GO:0005978","glycogen biosynthetic process",14,2,0.07,"0.00217"
"GO:0009809","lignin biosynthetic process",54,3,0.27,"0.00248"
"GO:0044038","cell wall macromolecule biosynthetic pro...",54,3,0.27,"0.00248"
"GO:0010410","hemicellulose metabolic process",56,3,0.28,"0.00275"
"GO:0010413","glucuronoxylan metabolic process",16,2,0.08,"0.00284"
"GO:0010417","glucuronoxylan biosynthetic process",16,2,0.08,"0.00284"
