"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004519","endonuclease activity",566,28,10.89,"3.7e-06"
"GO:0004518","nuclease activity",634,28,12.2,"3.0e-05"
"GO:0016168","chlorophyll binding",72,8,1.39,"6.8e-05"
"GO:0016787","hydrolase activity",2396,69,46.11,"0.00013"
"GO:0004525","ribonuclease III activity",29,5,0.56,"0.00020"
"GO:0032296","double-stranded RNA-specific ribonucleas...",29,5,0.56,"0.00020"
"GO:0046906","tetrapyrrole binding",90,8,1.73,"0.00033"
"GO:0030346","protein phosphatase 2B binding",2,2,0.04,"0.00037"
"GO:0016788","hydrolase activity, acting on ester bond...",1041,35,20.03,"0.00071"
"GO:0016891","RNA endonuclease activity, producing 5'-...",40,5,0.77,"0.00096"
"GO:0015171","amino acid transmembrane transporter act...",65,6,1.25,"0.00151"
"GO:0000026","alpha-1,2-mannosyltransferase activity",4,2,0.08,"0.00216"
"GO:0004376","glycolipid mannosyltransferase activity",4,2,0.08,"0.00216"
"GO:0004377","GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-man...",4,2,0.08,"0.00216"
"GO:0004738","pyruvate dehydrogenase activity",4,2,0.08,"0.00216"
"GO:0004739","pyruvate dehydrogenase (acetyl-transferr...",4,2,0.08,"0.00216"
"GO:0016893","endonuclease activity, active with eithe...",50,5,0.96,"0.00263"
"GO:0005342","organic acid transmembrane transporter a...",132,8,2.54,"0.00393"
"GO:0046943","carboxylic acid transmembrane transporte...",132,8,2.54,"0.00393"
"GO:0016624","oxidoreductase activity, acting on the a...",6,2,0.12,"0.00525"
