"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0022857","transmembrane transporter activity",852,6,1.35,"0.0014"
"GO:0005215","transporter activity",986,6,1.57,"0.0029"
"GO:0015211","purine nucleoside transmembrane transpor...",7,1,0.01,"0.0111"
"GO:0090440","abscisic acid transmembrane transporter ...",7,1,0.01,"0.0111"
"GO:0016788","hydrolase activity, acting on ester bond...",952,5,1.51,"0.0135"
"GO:0047254","2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazi...",9,1,0.01,"0.0142"
"GO:0005337","nucleoside transmembrane transporter act...",10,1,0.02,"0.0158"
"GO:0015665","alcohol transmembrane transporter activi...",10,1,0.02,"0.0158"
"GO:1901618","organic hydroxy compound transmembrane t...",16,1,0.03,"0.0251"
"GO:0170055","lipid transmembrane transporter activity",18,1,0.03,"0.0282"
"GO:0005385","zinc ion transmembrane transporter activ...",20,1,0.03,"0.0313"
"GO:0004519","endonuclease activity",467,3,0.74,"0.0354"
"GO:0016787","hydrolase activity",2163,7,3.44,"0.0382"
"GO:0005345","purine nucleobase transmembrane transpor...",29,1,0.05,"0.0451"
"GO:0004252","serine-type endopeptidase activity",30,1,0.05,"0.0467"
"GO:0015205","nucleobase transmembrane transporter act...",30,1,0.05,"0.0467"
"GO:0015318","inorganic molecular entity transmembrane...",525,3,0.83,"0.0475"
"GO:0004518","nuclease activity",530,3,0.84,"0.0487"
"GO:0003993","acid phosphatase activity",36,1,0.06,"0.0557"
"GO:0008028","monocarboxylic acid transmembrane transp...",37,1,0.06,"0.0572"
