"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005488","binding",4622,9,4.04,"0.00074"
"GO:1901363","heterocyclic compound binding",2558,7,2.24,"0.00129"
"GO:0097159","organic cyclic compound binding",2565,7,2.24,"0.00131"
"GO:0038036","sphingosine-1-phosphate receptor activit...",2,1,0,"0.00175"
"GO:0045125","bioactive lipid receptor activity",2,1,0,"0.00175"
"GO:0008481","sphingosine kinase activity",4,1,0,"0.00349"
"GO:0017050","D-erythro-sphingosine kinase activity",4,1,0,"0.00349"
"GO:0003676","nucleic acid binding",2174,6,1.9,"0.00410"
"GO:0004930","G protein-coupled receptor activity",5,1,0,"0.00437"
"GO:0036094","small molecule binding",3147,7,2.75,"0.00483"
"GO:0051721","protein phosphatase 2A binding",6,1,0.01,"0.00524"
"GO:0004031","aldehyde oxidase activity",8,1,0.01,"0.00698"
"GO:0010293","abscisic aldehyde oxidase activity",8,1,0.01,"0.00698"
"GO:0010385","double-stranded methylated DNA binding",8,1,0.01,"0.00698"
"GO:0016623","oxidoreductase activity, acting on the a...",8,1,0.01,"0.00698"
"GO:0018479","benzaldehyde dehydrogenase (NAD+) activi...",8,1,0.01,"0.00698"
"GO:0018488","aryl-aldehyde oxidase activity",8,1,0.01,"0.00698"
"GO:0019115","benzaldehyde dehydrogenase [NAD(P)+] act...",8,1,0.01,"0.00698"
"GO:0050302","indole-3-acetaldehyde oxidase activity",8,1,0.01,"0.00698"
"GO:0004519","endonuclease activity",566,3,0.5,"0.01084"
