"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0140657","ATP-dependent activity",555,37,11.41,"1.5e-10"
"GO:0016887","ATP hydrolysis activity",512,34,10.53,"1.0e-09"
"GO:0017111","ribonucleoside triphosphate phosphatase ...",601,37,12.36,"1.4e-09"
"GO:0016462","pyrophosphatase activity",645,38,13.26,"2.7e-09"
"GO:0016818","hydrolase activity, acting on acid anhyd...",650,38,13.36,"3.4e-09"
"GO:0016817","hydrolase activity, acting on acid anhyd...",653,38,13.42,"3.8e-09"
"GO:0140097","catalytic activity, acting on DNA",167,16,3.43,"3.1e-07"
"GO:0140640","catalytic activity, acting on a nucleic ...",536,30,11.02,"4.9e-07"
"GO:0003824","catalytic activity",5773,150,118.68,"3.8e-06"
"GO:0004031","aldehyde oxidase activity",8,4,0.16,"1.1e-05"
"GO:0010293","abscisic aldehyde oxidase activity",8,4,0.16,"1.1e-05"
"GO:0016623","oxidoreductase activity, acting on the a...",8,4,0.16,"1.1e-05"
"GO:0018479","benzaldehyde dehydrogenase (NAD+) activi...",8,4,0.16,"1.1e-05"
"GO:0018488","aryl-aldehyde oxidase activity",8,4,0.16,"1.1e-05"
"GO:0019115","benzaldehyde dehydrogenase [NAD(P)+] act...",8,4,0.16,"1.1e-05"
"GO:0050302","indole-3-acetaldehyde oxidase activity",8,4,0.16,"1.1e-05"
"GO:0032135","DNA insertion or deletion binding",9,4,0.19,"2.0e-05"
"GO:0030983","mismatched DNA binding",12,4,0.25,"7.5e-05"
"GO:0016740","transferase activity",2351,71,48.33,"0.00020"
"GO:0003684","damaged DNA binding",30,5,0.62,"0.00033"
