"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0006277","DNA amplification",1,1,0,"0.00092"
"GO:0006940","regulation of smooth muscle contraction",2,1,0,"0.00183"
"GO:0010799","regulation of peptidyl-threonine phospho...",2,1,0,"0.00183"
"GO:0010800","positive regulation of peptidyl-threonin...",2,1,0,"0.00183"
"GO:0045766","positive regulation of angiogenesis",2,1,0,"0.00183"
"GO:0045933","positive regulation of muscle contractio...",2,1,0,"0.00183"
"GO:0045987","positive regulation of smooth muscle con...",2,1,0,"0.00183"
"GO:0046521","sphingoid catabolic process",2,1,0,"0.00183"
"GO:0048146","positive regulation of fibroblast prolif...",2,1,0,"0.00183"
"GO:1901222","regulation of non-canonical NF-kappaB si...",2,1,0,"0.00183"
"GO:1901224","positive regulation of non-canonical NF-...",2,1,0,"0.00183"
"GO:1904018","positive regulation of vasculature devel...",2,1,0,"0.00183"
"GO:0046165","alcohol biosynthetic process",77,2,0.07,"0.00215"
"GO:0006939","smooth muscle contraction",3,1,0,"0.00275"
"GO:0010803","regulation of tumor necrosis factor-medi...",3,1,0,"0.00275"
"GO:0033209","tumor necrosis factor-mediated signaling...",3,1,0,"0.00275"
"GO:0038061","non-canonical NF-kappaB signal transduct...",3,1,0,"0.00275"
"GO:0045765","regulation of angiogenesis",3,1,0,"0.00275"
"GO:1901342","regulation of vasculature development",3,1,0,"0.00275"
"GO:0006457","protein folding",99,2,0.09,"0.00353"
