"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0030247","polysaccharide binding",58,3,0.23,"0.0015"
"GO:0004222","metalloendopeptidase activity",20,2,0.08,"0.0028"
"GO:0001735","prenylcysteine oxidase activity",1,1,0,"0.0040"
"GO:0004175","endopeptidase activity",175,4,0.7,"0.0049"
"GO:0030246","carbohydrate binding",88,3,0.35,"0.0050"
"GO:0004729","oxygen-dependent protoporphyrinogen oxid...",2,1,0.01,"0.0079"
"GO:0070818","protoporphyrinogen oxidase activity",2,1,0.01,"0.0079"
"GO:0008237","metallopeptidase activity",42,2,0.17,"0.0120"
"GO:0015141","succinate transmembrane transporter acti...",4,1,0.02,"0.0158"
"GO:0016670","oxidoreductase activity, acting on a sul...",4,1,0.02,"0.0158"
"GO:0004473","malate dehydrogenase (decarboxylating) (...",5,1,0.02,"0.0197"
"GO:0120091","jasmonic acid hydrolase",5,1,0.02,"0.0197"
"GO:0004190","aspartic-type endopeptidase activity",55,2,0.22,"0.0200"
"GO:0070001","aspartic-type peptidase activity",55,2,0.22,"0.0200"
"GO:0008233","peptidase activity",279,4,1.11,"0.0241"
"GO:0016667","oxidoreductase activity, acting on a sul...",61,2,0.24,"0.0243"
"GO:0004470","malic enzyme activity",7,1,0.03,"0.0275"
"GO:0016018","cyclosporin A binding",7,1,0.03,"0.0275"
"GO:0016634","oxidoreductase activity, acting on the C...",8,1,0.03,"0.0314"
"GO:0016707","gibberellin 3-beta-dioxygenase activity",9,1,0.04,"0.0352"
