"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0003774","cytoskeletal motor activity",76,8,0.64,"2.2e-07"
"GO:0003777","microtubule motor activity",65,7,0.55,"1.1e-06"
"GO:0140993","histone modifying activity",86,7,0.73,"7.6e-06"
"GO:0140640","catalytic activity, acting on a nucleic ...",530,15,4.48,"3.3e-05"
"GO:0003677","DNA binding",1004,20,8.49,"0.00021"
"GO:0008574","plus-end-directed microtubule motor acti...",15,3,0.13,"0.00025"
"GO:0003682","chromatin binding",149,7,1.26,"0.00026"
"GO:0070182","DNA polymerase binding",4,2,0.03,"0.00042"
"GO:0005488","binding",4622,55,39.08,"0.00043"
"GO:0042826","histone deacetylase binding",18,3,0.15,"0.00043"
"GO:0003690","double-stranded DNA binding",223,8,1.89,"0.00058"
"GO:0016887","ATP hydrolysis activity",639,14,5.4,"0.00087"
"GO:0003676","nucleic acid binding",2174,31,18.38,"0.00125"
"GO:0042800","histone H3K4 methyltransferase activity",7,2,0.06,"0.00144"
"GO:0016796","exonuclease activity, active with either...",27,3,0.23,"0.00147"
"GO:0140657","ATP-dependent activity",683,14,5.78,"0.00166"
"GO:0000404","heteroduplex DNA loop binding",8,2,0.07,"0.00191"
"GO:0004527","exonuclease activity",63,4,0.53,"0.00194"
"GO:0000976","transcription cis-regulatory region bind...",109,5,0.92,"0.00226"
"GO:0032135","DNA insertion or deletion binding",9,2,0.08,"0.00245"
