"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005694","chromosome",414,18,3.43,"7.3e-09"
"GO:0015630","microtubule cytoskeleton",249,14,2.07,"1.7e-08"
"GO:0000228","nuclear chromosome",215,12,1.78,"2.0e-07"
"GO:0005856","cytoskeleton",357,15,2.96,"2.3e-07"
"GO:0016581","NuRD complex",10,4,0.08,"9.0e-07"
"GO:0090545","CHD-type complex",10,4,0.08,"9.0e-07"
"GO:0005871","kinesin complex",65,7,0.54,"1.0e-06"
"GO:0005634","nucleus",3685,54,30.56,"1.0e-06"
"GO:0032991","protein-containing complex",2421,40,20.08,"4.0e-06"
"GO:0070603","SWI/SNF superfamily-type complex",31,5,0.26,"5.1e-06"
"GO:0005875","microtubule associated complex",88,7,0.73,"8.1e-06"
"GO:0031981","nuclear lumen",1214,25,10.07,"1.4e-05"
"GO:0000785","chromatin",196,9,1.63,"3.5e-05"
"GO:0000118","histone deacetylase complex",24,4,0.2,"4.2e-05"
"GO:0017053","transcription repressor complex",26,4,0.22,"5.8e-05"
"GO:0005654","nucleoplasm",646,16,5.36,"7.8e-05"
"GO:0005813","centrosome",28,4,0.23,"7.8e-05"
"GO:1904949","ATPase complex",56,5,0.46,"9.7e-05"
"GO:0031974","membrane-enclosed lumen",1454,26,12.06,"1e-04"
"GO:0043233","organelle lumen",1454,26,12.06,"1e-04"
