"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0006338","chromatin remodeling",301,20,5.79,"1.4e-06"
"GO:0009616","RNAi-mediated antiviral immune response",33,7,0.63,"2.5e-06"
"GO:0051214","RNAi-mediated antiviral immunity against...",14,5,0.27,"4.4e-06"
"GO:1901699","cellular response to nitrogen compound",193,15,3.71,"4.7e-06"
"GO:0010267","ta-siRNA processing",37,7,0.71,"5.6e-06"
"GO:0098586","cellular response to virus",37,7,0.71,"5.6e-06"
"GO:0040029","epigenetic regulation of gene expression",226,16,4.35,"7.5e-06"
"GO:0016441","post-transcriptional gene silencing",143,12,2.75,"2.0e-05"
"GO:0071359","cellular response to dsRNA",100,10,1.92,"2.2e-05"
"GO:0043331","response to dsRNA",103,10,1.98,"2.8e-05"
"GO:0030422","siRNA processing",86,9,1.65,"3.9e-05"
"GO:0006353","DNA-templated transcription termination",12,4,0.23,"5.9e-05"
"GO:0070918","regulatory ncRNA processing",137,11,2.64,"6.6e-05"
"GO:0006325","chromatin organization",488,23,9.39,"6.7e-05"
"GO:0009451","RNA modification",606,26,11.66,"0.00011"
"GO:0044003","symbiont-mediated perturbation of host p...",59,7,1.14,"0.00013"
"GO:0048440","carpel development",79,8,1.52,"0.00013"
"GO:0006089","lactate metabolic process",6,3,0.12,"0.00013"
"GO:0035821","modulation of process of another organis...",62,7,1.19,"0.00018"
"GO:0035194","regulatory ncRNA-mediated post-transcrip...",130,10,2.5,"0.00020"
