"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0010208","pollen wall assembly",38,3,0.15,"0.00043"
"GO:0085029","extracellular matrix assembly",38,3,0.15,"0.00043"
"GO:0030198","extracellular matrix organization",51,3,0.2,"0.00102"
"GO:0043062","extracellular structure organization",51,3,0.2,"0.00102"
"GO:0010927","cellular component assembly involved in ...",55,3,0.22,"0.00127"
"GO:0030327","prenylated protein catabolic process",1,1,0,"0.00391"
"GO:0030328","prenylcysteine catabolic process",1,1,0,"0.00391"
"GO:0030329","prenylcysteine metabolic process",1,1,0,"0.00391"
"GO:0010345","suberin biosynthetic process",25,2,0.1,"0.00424"
"GO:0009624","response to nematode",102,3,0.4,"0.00734"
"GO:0000212","meiotic spindle organization",2,1,0.01,"0.00781"
"GO:0015741","fumarate transport",2,1,0.01,"0.00781"
"GO:0042795","snRNA transcription by RNA polymerase II",2,1,0.01,"0.00781"
"GO:0022607","cellular component assembly",942,9,3.68,"0.00969"
"GO:0071495","cellular response to endogenous stimulus",943,9,3.69,"0.00976"
"GO:1901701","cellular response to oxygen-containing c...",794,8,3.11,"0.01101"
"GO:0009301","snRNA transcription",3,1,0.01,"0.01169"
"GO:2000071","regulation of defense response by callos...",3,1,0.01,"0.01169"
"GO:0051707","response to other organism",1159,10,4.53,"0.01258"
"GO:0043207","response to external biotic stimulus",1163,10,4.55,"0.01287"
