"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0016442","RISC complex",20,5,0.39,"3.4e-05"
"GO:0031332","RNAi effector complex",20,5,0.39,"3.4e-05"
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex",65,6,1.27,"0.0017"
"GO:0045254","pyruvate dehydrogenase complex",5,2,0.1,"0.0037"
"GO:0055087","Ski complex",7,2,0.14,"0.0075"
"GO:1990234","transferase complex",489,18,9.57,"0.0076"
"GO:0016593","Cdc73/Paf1 complex",8,2,0.16,"0.0099"
"GO:0031461","cullin-RING ubiquitin ligase complex",154,8,3.01,"0.0108"
"GO:0045240","alpha-ketoacid dehydrogenase complex",9,2,0.18,"0.0125"
"GO:0016591","RNA polymerase II, holoenzyme",71,5,1.39,"0.0126"
"GO:0000151","ubiquitin ligase complex",196,9,3.84,"0.0151"
"GO:0070847","core mediator complex",10,2,0.2,"0.0155"
"GO:0005668","RNA polymerase transcription factor SL1 ...",1,1,0.02,"0.0196"
"GO:0005971","ribonucleoside-diphosphate reductase com...",1,1,0.02,"0.0196"
"GO:0034455","t-UTP complex",1,1,0.02,"0.0196"
"GO:0034663","endoplasmic reticulum chaperone complex",1,1,0.02,"0.0196"
"GO:0042565","RNA nuclear export complex",1,1,0.02,"0.0196"
"GO:0070852","cell body fiber",1,1,0.02,"0.0196"
"GO:0070860","RNA polymerase I core factor complex",1,1,0.02,"0.0196"
"GO:0005942","phosphatidylinositol 3-kinase complex",13,2,0.25,"0.0258"
