"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0005674","transcription factor TFIIF complex",1,1,0,"0.0044"
"GO:0097550","transcription preinitiation complex",1,1,0,"0.0044"
"GO:0016020","membrane",4418,28,19.47,"0.0116"
"GO:0005886","plasma membrane",2452,18,10.81,"0.0144"
"GO:0009921","auxin efflux carrier complex",4,1,0.02,"0.0175"
"GO:0043076","megasporocyte nucleus",4,1,0.02,"0.0175"
"GO:0043078","polar nucleus",4,1,0.02,"0.0175"
"GO:0005743","mitochondrial inner membrane",240,4,1.06,"0.0211"
"GO:0033095","aleurone grain",5,1,0.02,"0.0218"
"GO:0000428","DNA-directed RNA polymerase complex",152,3,0.67,"0.0293"
"GO:0030880","RNA polymerase complex",152,3,0.67,"0.0293"
"GO:0016328","lateral plasma membrane",7,1,0.03,"0.0305"
"GO:0031966","mitochondrial membrane",275,4,1.21,"0.0326"
"GO:0005797","Golgi medial cisterna",8,1,0.04,"0.0347"
"GO:0071944","cell periphery",2894,19,12.76,"0.0357"
"GO:0005740","mitochondrial envelope",290,4,1.28,"0.0385"
"GO:0000138","Golgi trans cisterna",9,1,0.04,"0.0390"
"GO:0061695","transferase complex, transferring phosph...",184,3,0.81,"0.0473"
"GO:0019866","organelle inner membrane",329,4,1.45,"0.0565"
"GO:0010369","chromocenter",16,1,0.07,"0.0683"
