"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0035452","extrinsic component of plastid membrane",3,1,0,"0.0027"
"GO:0005829","cytosol",1886,6,1.67,"0.0028"
"GO:0000808","origin recognition complex",8,1,0.01,"0.0071"
"GO:0005664","nuclear origin of replication recognitio...",8,1,0.01,"0.0071"
"GO:0031312","extrinsic component of organelle membran...",13,1,0.01,"0.0115"
"GO:0009941","chloroplast envelope",660,3,0.58,"0.0179"
"GO:0005762","mitochondrial large ribosomal subunit",29,1,0.03,"0.0254"
"GO:0000315","organellar large ribosomal subunit",35,1,0.03,"0.0306"
"GO:0009707","chloroplast outer membrane",51,1,0.05,"0.0443"
"GO:0009527","plastid outer membrane",57,1,0.05,"0.0494"
"GO:0009570","chloroplast stroma",980,3,0.87,"0.0501"
"GO:0009532","plastid stroma",987,3,0.87,"0.0510"
"GO:0019898","extrinsic component of membrane",67,1,0.06,"0.0578"
"GO:0009526","plastid envelope",1051,3,0.93,"0.0596"
"GO:0005761","mitochondrial ribosome",86,1,0.08,"0.0736"
"GO:0000313","organellar ribosome",99,1,0.09,"0.0843"
"GO:0031969","chloroplast membrane",126,1,0.11,"0.1062"
"GO:0009705","plant-type vacuole membrane",137,1,0.12,"0.1149"
"GO:0022625","cytosolic large ribosomal subunit",138,1,0.12,"0.1157"
"GO:0031967","organelle envelope",1403,3,1.24,"0.1191"
